,词频,发音,词性,原型
あれ,851,アレ,名詞,あれ
出来,843,デキ,動詞,出来る
小さな,837,チイサナ,連体詞,小さな
記憶,834,キオク,名詞,記憶
だけど,829,ダケド,接続詞,だけど
感情,828,カンジョウ,名詞,感情
本当,822,ホントウ,名詞,本当
居,815,イ,動詞,居る
流れ,815,ナガレ,動詞,流れる
死ぬ,814,シヌ,動詞,死ぬ
ぼく,802,ボク,名詞,ぼく
見つめ,798,ミツメ,動詞,見つめる
溢れ,795,アフレ,動詞,溢れる
出し,790,ダシ,動詞,出す
せい,786,セイ,名詞,せい
大切,786,タイセツ,名詞,大切
影,785,カゲ,名詞,影
生まれ,776,ウマレ,動詞,生まれる
くる,776,クル,動詞,くる
口,774,クチ,名詞,口
大人,771,オトナ,名詞,大人
来る,770,クル,動詞,来る
大好き,770,ダイスキ,名詞,大好き
め,761,メ,名詞,め
昨日,759,キノウ,名詞,昨日
大丈夫,757,ダイジョウブ,名詞,大丈夫
向こう,754,ムコウ,名詞,向こう
過去,750,カコ,名詞,過去
綺麗,747,キレイ,名詞,綺麗
生きる,747,イキル,動詞,生きる
あと,743,アト,名詞,あと
分かっ,742,ワカッ,動詞,分かる
わから,739,ワカラ,動詞,わかる
名前,739,ナマエ,名詞,名前
嫌,738,イヤ,名詞,嫌
傷,738,キズ,名詞,傷
どれ,735,ドレ,名詞,どれ
話,729,ハナシ,名詞,話
者,727,モノ,名詞,者
我,727,ワガ,名詞,我
希望,721,キボウ,名詞,希望
これから,720,コレカラ,副詞,これから
ほしい,717,ホシイ,形容詞,ほしい
もう一度,712,モウイチド,副詞,もう一度
何処,709,ドコ,名詞,何処
もん,708,モン,名詞,もん
違う,708,チガウ,動詞,違う
下,708,シタ,名詞,下
良い,707,ヨイ,形容詞,良い
景色,701,ケシキ,名詞,景色
覚え,700,オボエ,動詞,覚える
止め,700,トメ,動詞,止める
見つけ,698,ミツケ,動詞,見つける
頭,694,アタマ,名詞,頭
泣き,694,ナキ,動詞,泣く
毎日,689,マイニチ,名詞,毎日
是,685,ゼ,名詞,是
知り,684,シリ,動詞,知る
不安,684,フアン,名詞,不安
いま,681,イマ,名詞,いま
いけ,679,イケ,動詞,いける
ま,679,マ,フィラー,ま
まるで,679,マルデ,副詞,まるで
さぁ,679,サァ,感動詞,さぁ
捨て,679,ステ,動詞,捨てる
どうか,679,ドウカ,副詞,どうか
約束,673,ヤクソク,名詞,約束
す,672,ス,動詞,する
闇,670,ヤミ,名詞,闇
身,669,ミ,名詞,身
果て,668,ハテ,名詞,果て
嫌い,667,キライ,名詞,嫌い
ち,666,チ,動詞,ちる
期待,664,キタイ,名詞,期待
甘い,664,アマイ,形容詞,甘い
言い,661,イイ,動詞,言う
ご,660,ゴ,接頭詞,ご
大事,660,ダイジ,名詞,大事
笑い,659,ワライ,名詞,笑い
変え,656,カエ,動詞,変える
孤独,655,コドク,名詞,孤独
あげる,655,アゲル,動詞,あげる
部屋,655,ヘヤ,名詞,部屋
見せ,654,ミセ,動詞,見せる
次,646,ツギ,名詞,次
描い,641,エガイ,動詞,描く
大,639,ダイ,接頭詞,大
あぁ,638,アァ,感動詞,あぁ
合っ,638,アッ,動詞,合う
奥,638,オク,名詞,奥
う,636,ウ,感動詞,う
いっ,635,イッ,動詞,いく
足り,635,タリ,動詞,足りる
あんた,634,アンタ,名詞,あんた
変わっ,632,カワッ,動詞,変わる
女,632,オンナ,名詞,女
考え,628,カンガエ,動詞,考える
隠し,626,カクシ,動詞,隠す
わけ,623,ワケ,名詞,わけ
過ぎ,620,スギ,動詞,過ぎる
求め,620,モトメ,動詞,求める
合う,619,アウ,動詞,合う
もしも,617,モシモ,副詞,もしも
でる,616,デル,動詞,でる
連れ,615,ツレ,動詞,連れる
優し,614,ヤサシ,形容詞,優しい
なら,613,ナラ,動詞,なる
越え,612,コエ,動詞,越える
歌う,611,ウタウ,動詞,歌う
出す,609,ダス,動詞,出す
体,609,カラダ,名詞,体
なに,605,ナニ,名詞,なに
雲,605,クモ,名詞,雲
見る,603,ミル,動詞,見る
なれる,602,ナレル,動詞,なれる
つい,601,ツイ,動詞,つく
ちゃんと,599,チャント,副詞,ちゃんと
さん,598,サン,名詞,さん
悲しい,596,カナシイ,形容詞,悲しい
あり,596,アリ,動詞,ある
こんなに,596,コンナニ,副詞,こんなに
続ける,596,ツヅケル,動詞,続ける
置い,593,オイ,動詞,置く
今夜,586,コンヤ,名詞,今夜
いや,585,イヤ,名詞,いや
会え,584,アエ,動詞,会える
本当に,583,ホントウニ,副詞,本当に
ごめん,581,ゴメン,感動詞,ごめん
優しい,580,ヤサシイ,形容詞,優しい
理由,578,リユウ,名詞,理由
遠い,575,トオイ,形容詞,遠い
届か,574,トドカ,動詞,届く
指,573,ユビ,名詞,指
見える,566,ミエル,動詞,見える
隣,565,トナリ,名詞,隣
きり,565,キリ,名詞,きり
死ん,557,シン,動詞,死ぬ
とても,557,トテモ,副詞,とても
ダメ,557,ダメ,名詞,ダメ
重ね,555,カサネ,動詞,重ねる
新しい,555,アタラシイ,形容詞,新しい
別れ,552,ワカレ,動詞,別れる
気づい,551,キヅイ,動詞,気づく
つけ,551,ツケ,動詞,つける
奇跡,551,キセキ,名詞,奇跡
よく,549,ヨク,副詞,よく
飛ん,549,トン,動詞,飛ぶ
聞い,545,キイ,動詞,聞く
愛さ,545,アイサ,動詞,愛す
旅,545,タビ,名詞,旅
窓,544,マド,名詞,窓
抱い,543,ダイ,動詞,抱く
変わる,542,カワル,動詞,変わる
繋い,541,ツナイ,動詞,繋ぐ
頬,541,ホオ,名詞,頬
瞬間,540,シュンカン,名詞,瞬間
他,537,タ,名詞,他
やめ,534,ヤメ,動詞,やめる
初めて,532,ハジメテ,副詞,初めて
ひと,532,ヒト,名詞,ひと
終わら,532,オワラ,動詞,終わる
壊れ,531,コワレ,動詞,壊れる
耳,531,ミミ,名詞,耳
背中,530,セナカ,名詞,背中
勇気,527,ユウキ,名詞,勇気
側,526,ガワ,名詞,側
嗚呼,524,アア,感動詞,嗚呼
自由,524,ジユウ,名詞,自由
通り,524,トオリ,名詞,通り
悪い,523,ワルイ,形容詞,悪い
形,523,ガタ,名詞,形
なぜ,523,ナゼ,副詞,なぜ
こう,523,コウ,副詞,こう
優しく,523,ヤサシク,形容詞,優しい
力,522,チカラ,名詞,力
歩き,521,アルキ,動詞,歩く
はい,521,ハイ,感動詞,はい
だらけ,518,ダラケ,名詞,だらけ
長い,518,ナガイ,形容詞,長い
負け,516,マケ,動詞,負ける
雪,515,ユキ,名詞,雪
行っ,512,オコナッ,動詞,行う
持っ,510,モッ,動詞,持つ
届け,507,トドケ,動詞,届ける
咲い,506,サイ,動詞,咲く
後悔,504,コウカイ,名詞,後悔
水,503,ミズ,名詞,水
きれ,502,キレ,動詞,きれる
太陽,499,タイヨウ,名詞,太陽
あげ,498,アゲ,動詞,あげる
後,498,ノチ,名詞,後
たった,497,タッタ,副詞,たった
よかっ,496,ヨカッ,形容詞,よい
神様,494,カミサマ,名詞,神様
波,494,ナミ,名詞,波
確か,491,タシカ,名詞,確か
できる,491,デキル,動詞,できる
輝く,491,カガヤク,動詞,輝く
間,490,マ,名詞,間
匂い,489,ニオイ,名詞,匂い
聞こえ,489,キコエ,動詞,聞こえる
本当は,488,ホントウハ,副詞,本当は
三,487,サン,名詞,三
鼓動,485,コドウ,名詞,鼓動
ところ,485,トコロ,名詞,ところ
感,483,カン,名詞,感
続く,480,ツヅク,動詞,続く
願っ,479,ネガッ,動詞,願う
姿,479,スガタ,名詞,姿
消える,477,キエル,動詞,消える
一番,476,イチバン,名詞,一番
届く,474,トドク,動詞,届く
青い,473,アオイ,形容詞,青い
揺れ,470,ユレ,動詞,揺れる
離さ,469,ハナサ,動詞,離す
気付い,469,キヅイ,動詞,気付く
人間,468,ニンゲン,名詞,人間
疲れ,468,ツカレ,動詞,疲れる
たび,468,タビ,名詞,たび
為,468,タメ,名詞,為
白い,467,シロイ,形容詞,白い
知る,465,シル,動詞,知る
千,465,セン,名詞,千
溶け,465,トケ,動詞,溶ける
逃げ,464,ニゲ,動詞,逃げる
魔法,463,マホウ,名詞,魔法
戻れ,462,モドレ,動詞,戻れる
二度と,461,ニドト,副詞,二度と
馬鹿,461,バカ,名詞,馬鹿
子供,460,コドモ,名詞,子供
以上,457,イジョウ,名詞,以上
バカ,456,バカ,名詞,バカ
だって,456,ダッテ,接続詞,だって
身体,455,シンタイ,名詞,身体
思い出し,454,オモイダシ,動詞,思い出す
歌っ,451,ウタッ,動詞,歌う
キス,447,キス,名詞,キス
笑え,444,ワラエ,動詞,笑える
男,443,オトコ,名詞,男
踊り,443,オドリ,動詞,踊る
素直,442,スナオ,名詞,素直
待つ,442,マツ,動詞,待つ
桜,442,サクラ,名詞,桜
分,441,ブン,名詞,分
しまい,440,シマイ,動詞,しまう
繰り返し,440,クリカエシ,動詞,繰り返す
失,439,シツ,名詞,失
達,438,タチ,名詞,達
絶対,435,ゼッタイ,名詞,絶対
いこ,435,イコ,動詞,いく
せる,435,セル,動詞,せる
願う,434,ネガウ,動詞,願う
足,434,アシ,名詞,足
追いかけ,433,オイカケ,動詞,追いかける
叫ん,432,サケン,動詞,叫ぶ
閉じ,430,トジ,動詞,閉じる
分から,430,ワカラ,動詞,分かる
みる,429,ミル,動詞,みる
行か,427,イカ,動詞,行く
消し,425,ケシ,動詞,消す
肩,422,カタ,名詞,肩
行き,421,イキ,動詞,行く
とこ,421,トコ,名詞,とこ
晴れ,421,ハレ,動詞,晴れる
食べ,421,タベ,動詞,食べる
こっち,420,コッチ,名詞,こっち
終わる,420,オワル,動詞,終わる
大きな,417,オオキナ,連体詞,大きな
赤い,417,アカイ,形容詞,赤い
現実,417,ゲンジツ,名詞,現実
抱え,417,カカエ,動詞,抱える
なんで,416,ナンデ,副詞,なんで
揺れる,415,ユレル,動詞,揺れる
お願い,414,オネガイ,名詞,お願い
諦め,414,アキラメ,動詞,諦める
どんなに,413,ドンナニ,副詞,どんなに
ふり,413,フリ,名詞,ふり
ください,413,クダサイ,動詞,くださる
もう少し,411,モウスコシ,副詞,もう少し
咲く,408,サク,動詞,咲く
残し,408,ノコシ,動詞,残す
早く,406,ハヤク,形容詞,早い
いれ,405,イレ,動詞,いる
決め,405,キメ,動詞,決める
聞か,405,キカ,動詞,聞く
枯れ,404,カレ,動詞,枯れる
理想,403,リソウ,名詞,理想
行け,402,イケ,動詞,行く
深く,402,フカク,形容詞,深い
しまえ,401,シマエ,動詞,しまう
見上げ,401,ミアゲ,動詞,見上げる
いか,400,イカ,名詞,いか
時代,400,ジダイ,名詞,時代
十,399,ジュウ,名詞,十
冷たい,399,ツメタイ,形容詞,冷たい
線,399,セン,名詞,線
思い出す,398,オモイダス,動詞,思い出す
秘密,397,ヒミツ,名詞,秘密
想い出,397,オモイデ,名詞,想い出
皆,396,ミナ,名詞,皆
超え,396,コエ,動詞,超える
歩,395,ホ,名詞,歩
名,394,ナ,名詞,名
宇宙,394,ウチュウ,名詞,宇宙
静か,393,シズカ,名詞,静か
数,393,カズ,名詞,数
寂し,393,サビシ,形容詞,寂しい
歩く,391,アルク,動詞,歩く
冬,390,フユ,名詞,冬
楽,390,ラク,名詞,楽
美しい,390,ウツクシイ,形容詞,美しい
何もかも,388,ナニモカモ,副詞,何もかも
止まら,387,トマラ,動詞,止まる
素敵,387,ステキ,名詞,素敵
友達,385,トモダチ,名詞,友達
眠れ,384,ネムレ,動詞,眠れる
天,384,テン,名詞,天
不,383,フ,接頭詞,不
火,382,ヒ,名詞,火
照らす,382,テラス,動詞,照らす
寂しい,382,サビシイ,形容詞,寂しい
存在,380,ソンザイ,名詞,存在
この世,379,コノヨ,名詞,この世
始め,378,ハジメ,動詞,始める
踊る,375,オドル,動詞,踊る
髪,374,カミ,名詞,髪
夜空,374,ヨゾラ,名詞,夜空
外,374,ソト,名詞,外
うち,373,ウチ,名詞,うち
そのまま,373,ソノママ,副詞,そのまま
鳥,373,トリ,名詞,鳥
最高,373,サイコウ,名詞,最高
町,372,マチ,名詞,町
糸,372,イト,名詞,糸
血,370,チ,名詞,血
味,367,アジ,名詞,味
あいつ,367,アイツ,名詞,あいつ
どうせ,367,ドウセ,副詞,どうせ
すぎる,367,スギル,動詞,すぎる
やる,366,ヤル,動詞,やる
鏡,366,カガミ,名詞,鏡
彼,366,カレ,名詞,彼
物語,364,モノガタリ,名詞,物語
させ,363,サセ,動詞,させる
怖く,362,コワク,形容詞,怖い
眼,361,メ,名詞,眼
ボク,361,ボク,名詞,ボク
喜び,361,ヨロコビ,名詞,喜び
光る,360,ヒカル,動詞,光る
らん,360,ラン,名詞,らん
無理,359,ムリ,名詞,無理
似,359,ニ,動詞,似る
心臓,358,シンゾウ,名詞,心臓
彼方,357,カナタ,名詞,彼方
いっそ,357,イッソ,副詞,いっそ
つく,356,ツク,動詞,つく
逢い,355,アイ,動詞,逢う
話し,355,ハナシ,動詞,話す
照らし,354,テラシ,動詞,照らす
簡単,354,カンタン,名詞,簡単
バイバイ,354,バイバイ,名詞,バイバイ
曖昧,354,アイマイ,名詞,曖昧
強,353,ツヨ,形容詞,強い
独り,351,ヒトリ,名詞,独り
家,350,イエ,名詞,家
よ,350,ヨ,名詞,よ
腕,348,ウデ,名詞,腕
くし,348,クシ,名詞,くし
温もり,348,ヌクモリ,名詞,温もり
なかっ,347,ナカッ,形容詞,ない
呼ん,347,ヨン,動詞,呼ぶ
終わっ,347,オワッ,動詞,終わる
まだまだ,346,マダマダ,副詞,まだまだ
虹,346,ニジ,名詞,虹
踊っ,346,オドッ,動詞,踊る
なさい,342,ナサイ,動詞,なさる
価値,341,カチ,名詞,価値
少女,340,ショウジョ,名詞,少女
出会い,340,デアイ,動詞,出会う
此処,340,ココ,名詞,此処
性,340,セイ,名詞,性
物,340,モノ,名詞,物
壊し,339,コワシ,動詞,壊す
慣れ,339,ナレ,動詞,慣れる
失っ,339,ウシナッ,動詞,失う
昔,339,ムカシ,名詞,昔
泣く,339,ナク,動詞,泣く
守り,338,マモリ,動詞,守る
うまく,336,ウマク,形容詞,うまい
深い,336,フカイ,形容詞,深い
迷い,336,マヨイ,名詞,迷い
おいで,335,オイデ,名詞,おいで
なんか,334,ナンカ,フィラー,なんか
背,334,セ,名詞,背
辛い,334,ツライ,形容詞,辛い
輝い,334,カガヤイ,動詞,輝く
少年,334,ショウネン,名詞,少年
憧れ,332,アコガレ,動詞,憧れる
会える,331,アエル,動詞,会える
翼,331,ツバサ,名詞,翼
それで,330,ソレデ,接続詞,それで
想う,330,オモウ,動詞,想う
夢見,329,ユメミ,動詞,夢見る
眠る,329,ネムル,動詞,眠る
神,329,カミ,名詞,神
夜明け,329,ヨアケ,名詞,夜明け
降る,329,フル,動詞,降る
開け,328,アケ,動詞,開ける
呼吸,327,コキュウ,名詞,呼吸
探す,327,サガス,動詞,探す
もし,326,モシ,副詞,もし
流れる,326,ナガレル,動詞,流れる
距離,326,キョリ,名詞,距離
傷つけ,326,キズツケ,動詞,傷つける
守る,325,マモル,動詞,守る
わかる,325,ワカル,動詞,わかる
笑,325,エミ,名詞,笑
過ごし,324,スゴシ,動詞,過ごす
繰り返す,323,クリカエス,動詞,繰り返す
ハート,322,ハート,名詞,ハート
思え,322,オモエ,動詞,思える
出会っ,322,デアッ,動詞,出会う
舞う,322,マウ,動詞,舞う
いよ,321,イヨ,動詞,いる
残る,321,ノコル,動詞,残る
猫,321,ネコ,名詞,猫
以外,321,イガイ,名詞,以外
上げ,321,アゲ,動詞,上げる
無駄,320,ムダ,名詞,無駄
必要,319,ヒツヨウ,名詞,必要
散る,319,チル,動詞,散る
帰り,318,カエリ,動詞,帰る
逢え,318,アエ,動詞,逢える
やがて,318,ヤガテ,副詞,やがて
呼ぶ,318,ヨブ,動詞,呼ぶ
ひ,317,ヒ,動詞,ひる
サヨナラ,317,サヨナラ,名詞,サヨナラ
祈り,316,イノリ,動詞,祈る
選ん,315,エラン,動詞,選ぶ
震え,315,フルエ,動詞,震える
青,314,アオ,形容詞,青い
汚れ,313,ヨゴレ,名詞,汚れ
歌え,312,ウタエ,動詞,歌う
だんだん,312,ダンダン,副詞,だんだん
地,312,チ,名詞,地
陽,311,ヒ,名詞,陽
一瞬,311,イッシュン,名詞,一瞬
出会え,311,デアエ,動詞,出会える
伸ばし,310,ノバシ,動詞,伸ばす
たとえ,308,タトエ,副詞,たとえ
限り,307,カギリ,名詞,限り
帰る,307,カエル,動詞,帰る
苦しい,307,クルシイ,形容詞,苦しい
すれ,306,スレ,動詞,する
真実,306,シンジツ,名詞,真実
映る,306,ウツル,動詞,映る
底,306,ソコ,名詞,底
暗い,306,クライ,形容詞,暗い
好,306,コウ,接頭詞,好
間違い,306,マチガイ,名詞,間違い
弱,306,ヨワ,形容詞,弱い
出来る,305,デキル,動詞,出来る
やつ,304,ヤツ,名詞,やつ
数え,304,カゾエ,動詞,数える
いくつ,303,イクツ,名詞,いくつ
切っ,303,キッ,動詞,切る
さま,302,サマ,名詞,さま
了,302,リョウ,名詞,了
扉,302,トビラ,名詞,扉
想像,301,ソウゾウ,名詞,想像
要ら,301,イラ,動詞,要る
着,301,キ,動詞,着る
眠り,301,ネムリ,名詞,眠り
向い,301,ムイ,動詞,向く
抜け,301,ヌケ,動詞,抜く
合わせ,300,アワセ,動詞,合わせる
吐い,300,ハイ,動詞,吐く
何故,300,ナゼ,副詞,何故
地球,300,チキュウ,名詞,地球
最初,299,サイショ,名詞,最初
香り,299,カオリ,名詞,香り
どっち,298,ドッチ,名詞,どっち
気づか,298,キヅカ,動詞,気づく
叶え,297,カナエ,動詞,叶える
乗っ,297,ノッ,動詞,乗る
眺め,296,ナガメ,動詞,眺める
笑える,295,ワラエル,動詞,笑える
なか,295,ナカ,名詞,なか
無く,295,ナク,形容詞,無い
暮らし,294,クラシ,動詞,暮らす
花びら,294,ハナビラ,名詞,花びら
さくら,293,サクラ,名詞,さくら
在,293,ザイ,接頭詞,在
いっぱい,292,イッパイ,副詞,いっぱい
書い,292,カイ,動詞,書く
輝き,292,カガヤキ,名詞,輝き
浮かぶ,292,ウカブ,動詞,浮かぶ
だめ,291,ダメ,名詞,だめ
傷つい,290,キズツイ,動詞,傷つく
踊れ,290,オドレ,動詞,踊れる
花火,290,ハナビ,名詞,花火
溺れ,289,オボレ,動詞,溺れる
あー,289,アー,フィラー,あー
続い,288,ツヅイ,動詞,続く
ふ,288,フ,動詞,ふる
隙間,288,スキマ,名詞,隙間
舞い,287,マイ,動詞,舞う
立っ,284,タッ,動詞,立つ
遥か,284,ハルカ,名詞,遥か
愛しい,284,イトシイ,形容詞,愛しい
おい,283,オイ,動詞,おく
死に,283,シニ,動詞,死ぬ
暗闇,283,クラヤミ,名詞,暗闇
増え,282,フエ,動詞,増える
流し,282,ナガシ,動詞,流す
と,282,ト,フィラー,と
曲,281,キョク,名詞,曲
妄想,281,モウソウ,名詞,妄想
フリ,280,フリ,名詞,フリ
許し,280,ユルシ,動詞,許す
くせ,280,クセ,名詞,くせ
進む,279,ススム,動詞,進む
満たさ,279,ミタサ,動詞,満たす
